front,back,hint,publishedAt
a microwave,микроволновая печь,,2026-04-09T11:12:21.689Z
a hall,зал,,2026-04-09T11:16:46.791Z
always,всегда,всегда — She always smiles,2025-10-05T19:14:12.275Z
distance,расстояние,расстояние,2025-07-02T14:31:59.896Z
just,только,I just finished my homework,2026-04-02T11:42:30.373Z
worth,имеет смысл,Используется для оценки действий; Example: It is worth checking the configuration. — Стоит проверить конфигурацию,2026-04-29T17:25:15.243Z
symbol of justice,символ справедливости,,2026-04-01T22:33:30.815Z
destuction,уничтожение,,2026-04-18T01:02:03.183Z
enemy,враг,враг; opponent; He is my enemy. Он мой враг,2026-05-03T01:59:14.978Z
not all at once,не всё сразу,,2026-04-26T14:21:25.937Z
dare,осмелиться,you dare to enter Barbaroy?,2026-05-02T23:37:45.570Z
twenty oh-nine,две тысячи девятый,,2026-03-31T18:56:53.666Z
downhill,под гору,,2026-05-03T02:02:08.813Z
carriage,карета,карета; also a train wagon or part of a machine; The carriage was full of people. Вагон был полон людей,2026-05-03T01:59:03.114Z
I assume,Предполагаю,I assume it's elegance and not stupidity,2026-05-02T23:38:05.115Z
a fence,забор,,2026-04-09T11:17:02.681Z
Keep going,Продолжайте,,2025-12-31T01:00:12.237Z
English,британский английский,британский английский,2025-07-02T14:33:33.790Z
Guilt,Вина,,2026-03-30T22:28:00.634Z
attached,прикреплённый,,2026-04-26T14:47:29.594Z
Value,Ценность,,2026-04-02T12:57:02.903Z
a cheek,щека,,2026-04-07T14:36:30.693Z
fiber,волокно (оптическое),волокно (оптическое),2025-07-02T14:35:03.758Z
a beard,борода,,2026-04-07T14:35:50.511Z
Break the law,Нарушение закона,,2026-03-31T17:54:58.156Z
put in,"вкладывать, устанавливать",,2026-03-31T22:41:31.886Z
opensource,открытое ПО,открытое ПО,2025-07-02T14:46:03.580Z
exit,"выход, завершение","выход, завершение",2025-07-02T14:34:21.749Z
appeared,появился,"Also, you may notice that a 7 has appeared before the password",2026-03-26T00:29:14.432Z
furniture,мебель,"Inside, you will see rooms, windows, and furniture",2026-04-01T22:39:15.870Z
fuel,топливо,,2026-04-26T14:49:38.690Z
hexadecimal,шестнадцатеричный,шестнадцатеричный,2025-07-02T14:37:55.659Z
into,в,The cat jumped into the box,2026-04-02T11:42:19.208Z
Death,Смерть,Death,2026-03-31T22:36:28.090Z
free software,свободное ПО,свободное ПО,2025-07-02T14:36:04.094Z
editor,редактор,редактор,2025-07-02T14:32:44.224Z
China Chinese,Китай Китайский,,2025-12-14T21:58:51.028Z
What percent of people,Какой процент людей,,2026-04-26T14:20:39.082Z
mushroom,гриб,,2026-04-26T14:13:40.128Z
payload,полезная нагрузка,"That means that the minimum payload is 46 bytes, and padding will be added if the payload",2026-03-30T23:36:54.903Z
file,файл,файл,2025-07-02T14:35:12.906Z
an eyebrow,бровь,,2026-04-07T14:37:20.582Z
occur / do occur,произойти,,2026-04-27T18:21:23.990Z
to magnify,увеличить,,2026-04-01T11:57:52.583Z
logical assumption,логичное предположение,,2026-03-28T14:05:17.779Z
"identification, identificator","идентификация, идентификатор","идентификация, идентификатор",2025-07-02T14:38:57.147Z
The fifteenth,Пятнадцатый,,2026-03-31T18:48:31.412Z
plug,"штекер, подключать","штекер, подключать",2025-07-02T14:47:28.546Z
to kid,разыгрывать,,2026-01-25T18:24:57.539Z
availability,доступность системы,доступность системы; Example: High availability is important for servers,2026-03-15T18:43:19.021Z
two fifths,две пятых,,2026-03-31T18:51:02.150Z
belong to,принадлежит к,,2026-04-26T14:49:25.044Z
Close,близкий,,2026-04-02T00:44:02.945Z
He is less tired,он менее устал,,2026-04-26T14:27:05.596Z
dust,пыль,"And this is: dirt, dust, crumbs, mold",2026-03-31T22:48:39.252Z
hardware,аппаратное обеспечение,аппаратное обеспечение,2025-07-02T14:37:27.741Z
to spend time on,тратить время на,тратить время на; always used with “on”; I spend time on books. — Я трачу время на книги,2025-12-06T22:55:15.414Z
during the lesson,во время урока,,2026-04-26T14:16:01.597Z
must operate,должен работать,,2026-04-27T18:21:40.322Z
to conform to standards,соответсвовать стандартам,,2026-04-23T17:09:03.795Z
we will discuss,мы обсудим,,2026-04-26T14:50:38.049Z
magnifying glass,лупа,"So, here’s our topology, and notice this magnifying glass here",2026-03-31T18:29:53.636Z
calculate,рассчитать,,2026-04-26T14:24:22.513Z
nice,"Милый, приятный","Милый, приятный; pleasant or friendly; пример: “She said a nice comment.”",2025-12-04T00:48:00.907Z
bucket,ведро,,2026-03-31T22:47:53.038Z
religion,религия,,2026-04-25T15:10:17.864Z
the only way,единственный способ,единственный способ; the single possible method; Example: This is the only way to win. (Это единственный способ победить.) /ðiː ˈoʊnli weɪ,2025-12-07T18:16:17.302Z
within,в рамках,,2026-03-27T21:37:22.741Z
a tongue,язык,,2026-04-07T14:41:46.123Z
a vegetable,овощ,,2026-04-26T14:25:57.071Z
dig,копать,,2026-03-29T19:41:19.002Z
State,заявлять,,2026-03-30T16:11:43.971Z
a yard,двор,,2026-04-09T11:15:35.062Z
except,кроме,"Marlin is a good father, except jokes",2026-04-02T11:49:23.232Z
thump,большей палец,,2025-12-23T01:52:01.173Z
a chin,подбородок,,2026-04-07T14:36:41.810Z
mismatch,несоответствие,,2026-04-27T18:23:07.504Z
sophisticated,сложный,,2026-04-27T18:21:30.309Z
to sense,чувствовать,,2026-04-27T18:23:00.945Z
an armchair,кресло,,2026-04-09T11:15:18.193Z
moreover,кроме того,"«Более того»; добавление информации; Example: Moreover, the results suggest a new trend",2025-12-10T03:11:09.754Z
particular,"конкретный, определённый","конкретный, определённый; I am looking for a particular book. — Я ищу конкретную книгу",2025-12-17T14:58:07.860Z
a balcony,балкон,,2026-04-09T11:18:09.507Z
intense pain,сильная боль,,2026-04-26T14:46:29.426Z
France French,Франция Французский,,2025-12-14T22:00:09.638Z
neighbour,сосед,,2026-04-07T14:32:20.118Z
This is known as,Это известно как,"This is known as a KNOWN UNICAST frame, because the destination is already in its MAC address",2026-03-30T16:39:21.941Z
nighttime city,ночной город,,2026-03-31T22:30:15.648Z
release,"выпуск, релиз","выпуск, релиз",2025-07-02T14:50:01.276Z
wall,стена,,2026-04-01T14:04:15.773Z
lack of election,отсутвие отбора,,2026-04-18T01:04:26.094Z
core,ядро процессора,ядро (процессора),2025-07-02T14:24:50.664Z
entering and exiting,входящий исходящий,,2026-03-27T21:51:29.550Z
The third,Третий,,2026-03-31T18:36:30.936Z
decimal,десятичный,десятичный,2025-07-02T14:25:48.889Z
foolish,глупые,"Some are foolish, and some are smart",2026-04-01T22:42:03.705Z
An entrance,Вход,An entrance to a building,2026-04-01T22:41:00.128Z
You didn’t say anything,Ты ничего не сказал,,2026-04-27T15:41:20.094Z
Ceiling,потолок,,2026-04-01T14:05:12.559Z
development,разработка,разработка,2025-07-02T14:26:27.509Z
reachability,доступность,Ключевой термин в сетях (можно ли добраться до узла); Example: Test reachability using ping. — Проверь достижимость с помощью ping,2026-04-29T17:24:55.186Z
to take,взять,Please take this book with you,2025-10-14T21:52:11.596Z
blood,кровь,,2026-04-07T14:42:00.519Z
pledge,обет,She made a pledge to help the community every weekend,2026-04-02T11:50:08.286Z
likewise,так же,Используется для добавления аналогичной информации; Example: Router B behaves likewise. — Маршрутизатор B ведёт себя аналогично,2026-04-29T17:25:22.607Z
subject to,зависит от,"при условии, зависит от; Coloured subject to rules. — Окрашено при соблюдении правил",2025-12-17T15:59:13.337Z
circle,круг,This circle is blue,2026-03-31T22:39:43.980Z
farther from us,дальше от нас,"In winter, it is cold because the Sun is farther from us",2026-03-31T22:33:08.616Z
connect,подключать,подключать,2025-07-02T14:24:05.737Z
Get to the office,добираться до офиса,,2026-04-02T01:14:57.480Z
stairs,лестница,,2026-04-09T11:15:56.636Z
Foreign policy,Внешняя политика,,2026-04-02T01:27:12.986Z
Are you insane,Вы с ума сошли?,"The parents of the fish say that all the children went to the reef Marlin is feared and yells at them:\Are you insane?! It's dangerous!\""""",2026-04-02T11:47:19.152Z
expression,выражение,выражение,2025-07-02T14:34:29.729Z
to cover,покрывать,Here’s what we’ll cover in this video,2025-07-22T08:25:31.944Z
"controller, control unit",контроллер,контроллер,2025-07-02T14:24:38.979Z
common,"общий, обычный it's a common thing","общий, обычный it's a common thing",2025-07-02T14:21:53.964Z
toward,по направлению к,Предлог направления; Example: Traffic goes toward the gateway. — Трафик идёт к шлюзу,2026-04-29T17:25:46.137Z
collaboration,совместная работа,совместная работа,2025-07-02T14:21:17.986Z
copyright,авторское право,авторское право,2025-07-02T14:24:46.393Z
compiler,компилятор,компилятор,2025-07-02T14:22:15.260Z
get older,становится старше,,2026-04-02T01:16:38.585Z
container,контейнер,контейнер,2025-07-02T14:24:26.628Z
component,компонент,компонент,2025-07-02T14:23:47.586Z
sofa,диван,,2026-03-31T22:37:29.034Z
interpreter,интерпретатор,интерпретатор,2025-07-02T14:39:54.592Z
comparison,сравнение,"This is a comparison of the commands available in user EXEC mode, on the left, and privileged",2026-03-22T23:11:50.898Z
safety measures,меры безопасности,,2026-04-26T14:30:24.684Z
content,содержимое,содержимое,2025-07-02T14:24:30.949Z
digital,цифровой,цифровой,2025-07-02T14:29:55.309Z
fault-tolerant,отказоустойчивый,отказоустойчивый,2025-07-02T14:34:52.099Z
control,управление,"управление, контроль",2025-07-02T14:24:35.973Z
constant,константа,константа,2025-07-02T14:24:23.388Z
to knock,стучать,I knocked on the door before entering,2025-10-14T21:50:55.982Z
curious,любопытный,"Описывает человека, интересующегося темой; Example: A curious engineer tests new configs. — Любознательный инженер тестирует новые конфигурации",2026-04-29T17:26:01.819Z
bin,корзина,,2026-04-01T14:05:38.124Z
current state,текущее состояние,Часто используется при анализе сети; Example: Check the current state of the network. — Проверь текущее состояние сети,2026-04-29T17:24:21.119Z
a cooker,плита,,2026-04-09T11:11:50.659Z
execute,выполни,выполнять,2025-07-02T14:34:17.797Z
computer,"компьютер, ЭВМ","компьютер, ЭВМ",2025-07-02T14:23:51.429Z
chart of the routes,схема маршрутов,"Не самый частотный термин, чаще говорят routing table; Example: The chart of the routes shows all paths. — Схема маршрутов показывает все пути",2026-04-29T17:25:33.332Z
via,через,Часто используется в маршрутах; Example: Send packets via Router A. — Отправь пакеты через маршрутизатор A,2026-04-29T17:25:52.168Z
to assume,"предполагать / исходить из того, что","Используется в логике и сетях при отсутствии полной информации; Example: We assume the link is stable. — Мы предполагаем, что канал стабилен",2026-04-29T17:24:10.581Z
mindless,безмысленая глупая,He watched a mindless movie that didn't make him think at all,2026-04-02T11:49:50.129Z
husband,Муж,Муж; married male partner; пример: “Her husband travels a lot.”,2025-12-07T17:21:17.990Z
to ensure,обеспечивать / гарантировать / убедиться,В CCNA часто означает проверку корректности; Example: Ensure connectivity between devices. — Убедись в наличии связи между устройствами,2026-04-29T17:24:46.900Z
preacher,Проповедник,Проповедник; a person who teaches religion; пример: “The preacher spoke loudly.”,2025-12-07T15:57:45.927Z
Select all rows,Выбрать все строки,,2026-04-26T14:17:34.722Z
nine,девять,,2025-12-14T20:36:09.252Z
beverage,напиток,,2026-04-26T14:24:04.217Z
to learn,учиться,She is learning new words every day,2025-10-14T21:51:21.150Z
access,доступ,доступ,2025-07-02T14:16:06.714Z
account,"учётная запись, аккаунт","учётная запись, аккаунт",2025-07-02T14:16:18.171Z
array,массив,массив,2025-07-02T14:17:43.906Z
agreement,соглашение,"соглашение, договор",2025-07-02T14:16:29.491Z
access control,управление доступом,управление доступом,2025-07-02T14:16:09.743Z
algorithm,алгоритм,алгоритм,2025-07-02T14:16:31.646Z
column,столбец,столбец,2025-07-02T14:21:27.543Z
anonymous,анонимный,анонимный,2025-07-02T14:16:52.151Z
access right,право доступа,право доступа,2025-07-02T14:16:12.540Z
begin,"начало (блока, цикла)","начало (блока, цикла)",2025-07-02T14:19:01.323Z
alternative,альтернативный,альтернативный,2025-07-02T14:16:36.916Z
base,"база, основа","база, основа",2025-07-02T14:18:53.435Z
address,"адрес (числовой, символьный)","адрес (числовой, символьный)",2025-07-02T14:16:23.087Z
argument,аргумент (входные данные),аргумент (входные данные),2025-07-02T14:17:37.158Z
basic,базовый,базовый,2025-07-02T14:18:56.318Z
activity,"активность, действие","активность, действие",2025-07-02T14:16:20.201Z
binary,двоичный,двоичный,2025-07-02T14:19:03.838Z
apply,применять,применять,2025-07-02T14:17:18.824Z
architect,архитектор,архитектор,2025-07-02T14:17:26.926Z
communication,"связь, коммуникация","связь, коммуникация",2025-07-02T14:21:58.714Z
administrator,администратор,администратор,2025-07-02T14:16:27.194Z
authorization,авторизация,авторизация,2025-07-02T14:18:26.988Z
certificate,сертификат,сертификат,2025-07-02T14:20:22.733Z
checksum,контрольная сумма,контрольная сумма,2025-07-02T14:20:50.567Z
application,приложение,приложение,2025-07-02T14:17:15.174Z
the fraction,дробь,,2026-03-31T18:59:58.966Z
cluster,кластер,кластер,2025-07-02T14:21:13.984Z
association,"ассоциация, связь","ассоциация, связь",2025-07-02T14:18:07.433Z
button,кнопка,кнопка,2025-07-02T14:19:55.274Z
border,"граница, рамка","граница, рамка",2025-07-02T14:19:32.323Z
cell,ячейка (таблицы),ячейка (таблицы),2025-07-02T14:20:17.735Z
bridge,мост,мост (сетевое устройство),2025-07-02T14:19:42.050Z
cloud,облако,облако (технологии),2025-07-02T14:21:09.729Z
very proud,очень гордые,They're also very proud of their country and its traditions,2026-04-29T21:59:26.102Z
box,коробка,"блок, контейнер",2025-07-02T14:19:36.111Z
Imagine,Представь себе,"Imagine a place where you can find amazing art, incredibly old buildings, and food that makes your mouth water",2026-04-29T21:55:44.956Z
include,включить,This includes checkpointing and streaming,2026-03-30T23:34:29.625Z
invincible,непобедимый,непобедимый; impossible to defeat; They felt invincible. Они чувствовали себя непобедимыми,2026-03-26T01:09:42.821Z
complete,завершить,All active nodes in a step are completed,2026-03-22T23:37:52.417Z
receive,получить,Node A receives this state object,2026-03-15T18:48:55.500Z
reliability,надёжность,A second issue is reliability,2026-03-15T18:43:08.672Z
latency,задержка,LLMs have very long latencies in seconds,2026-03-15T18:42:09.621Z
approval,одобрение,We wait for human approval before sending,2025-07-22T08:32:21.350Z
reset,сбросить,You can roll back and restart from an earlier state,2025-07-02T14:50:16.024Z
loop,цикл,There is a loop where it calls the graph,2025-07-02T14:42:42.432Z
condition,условие,Control is passed based on a condition,2025-07-02T14:24:01.537Z
wife,Жена,Жена; married woman partner; пример: “His wife is a doctor.”,2025-12-07T17:21:14.533Z
she hated most men,она ненавидела большинство мужчин,,2025-12-30T05:08:39.268Z
glasses,очки,,2026-03-15T16:07:57.504Z
year,год,год — We met last year,2025-10-05T19:14:37.029Z
triangles,треугольники,треугольники; Triangles are coloured. — Треугольники раскрашены,2025-12-17T15:59:32.048Z
knew,знал,I knew the answer to the question,2025-12-28T01:49:42.517Z
umbrella,зонт,,2026-03-15T16:06:43.155Z
wallet,кошелёк,,2026-03-15T18:10:07.455Z
to encrypt,шифровать,шифровать; encrypt = encode data; Example: Encrypt the message — Зашифруй сообщение,2025-12-01T21:58:23.989Z
address space,адресное пространство,адресное пространство; address space = all possible addresses; Example: IPv4 address space is limited — IPv4 имеет ограниченное пространство,2025-12-01T21:58:57.750Z
correlational research,Корреляционное исследование,Корреляционное исследование; проверяет связь без причинности; Example: Correlational research shows associations between variables,2025-12-10T03:14:12.705Z
Quality of life,Качество жизни,,2026-05-08T00:39:10.991Z
part of the curriculum,часть учебной программы,Grammar is part of the curriculum. — Грамматика — часть учебной программы. This module is about programming. — Этот модуль посвящён программированию,2026-02-27T06:22:28.720Z
traffic jam,пробка,пробка /ˈtræfɪk dʒæm/; I was stuck in a traffic jam. — Я застрял в пробке,2025-12-23T01:52:10.006Z
be given,быть данным,"быть дано, вручено; Awards will be given to the winners. — Награды будут вручены победителям",2025-12-17T16:04:50.892Z
Is it not true?,Разве это не правда?,,2025-12-25T22:46:24.124Z
coloured,"окрашенный, раскрашенный","окрашенный, раскрашенный; The triangles are coloured red. — Треугольники окрашены в красный",2025-12-17T15:58:43.452Z
Branch,Ветвь / Раздел,,2026-05-03T19:32:19.790Z
priviledge,привилегия,привилегия,2025-07-02T14:48:38.650Z
Fixed,Фиксированный,"Grammar is the fixed rules\\"" (грамматика — это неизменные правила).""",2026-05-03T19:33:32.897Z
To affect mental health,Влиять на психологическое здоровье,,2026-05-07T23:27:15.978Z
repeater,повторитель,повторитель,2025-07-02T14:50:11.258Z
often,часто,часто — He often travels abroad,2025-10-05T19:14:12.948Z
to generate,пораждать,,2026-04-18T01:01:15.555Z
octal,восьмеричный,восьмеричный,2025-07-02T14:45:50.588Z
introduction,Введение,Введение; задаёт тему и цель исследования; Example: The introduction presents the research problem,2025-12-10T03:14:07.491Z
think  thought  thought,в формах,,2025-12-31T00:58:33.904Z
one years ago,год назад,,2025-12-31T01:05:19.627Z
few,мало,,2025-12-30T05:03:33.757Z
to download,скачать,скачать; download = get data from server; Example: Download the file — Скачай файл,2025-12-01T21:58:17.749Z
Thesis,Тезис,,2026-02-27T09:55:09.178Z
November,ноябрь,,2025-07-28T17:01:22.298Z
learned,Усвоенный,"Усвоенный; Language is learned, not inborn. → Язык усваивается, а не является врождённым",2025-12-13T22:19:40.002Z
Tautology,Тавтология,Тавтология,2025-11-13T16:43:18.298Z
She wrote a book,Она написала книгу,,2025-12-30T05:12:51.302Z
Origin,Происхождение,"The history and origin of words\\"" (история и происхождение слов).""",2026-05-03T19:33:50.441Z
overall,в целом,,2025-12-28T01:54:07.074Z
neo-Nazis,неонацисты,,2025-12-28T00:16:25.942Z
same,одинаковый,,2025-12-31T01:05:00.564Z
according to,согласно,,2026-03-31T17:44:46.105Z
Which one?,который из них?,,2025-12-30T05:12:12.071Z
Context,Контекст,,2026-02-27T09:54:42.426Z
Editing,Редактирование,,2026-02-27T09:55:56.102Z
Conclusion,Заключение,,2026-02-27T09:54:53.031Z
indicated by,обозначенный,"Next is privileged exec mode, indicated by a pound, or hashtag",2026-03-26T01:18:30.963Z
average,среднее,,2025-12-30T05:03:00.147Z
future,будущее,,2026-02-09T00:26:12.282Z
tree,дерево,Дерево — связный граф без циклов; connected acyclic graph; пример: “A file system is a tree.”,2025-12-03T22:30:22.517Z
node,узел,узел; node = any device on a network; Example: A printer is a network node — Принтер является узлом сети,2025-12-01T21:58:28.527Z
Applied,Прикладные,,2026-03-30T13:42:53.366Z
spelling,правописание,,2025-12-27T23:25:07.164Z
AI,ингибитор ароматазы,ингибитор ароматазы; in steroid context AI means a drug that lowers estrogen levels; Example: Some athletes use an AI during cycles. — Некоторые атлеты используют ингибитор ароматазы во время курсов,2026-05-09T18:36:52.665Z
communicate,(общаться),(общаться) We communicate every day. — Мы общаемся каждый день,2025-10-26T15:14:54.472Z
chest,грудная клетка,"So chest, triceps, shoulders, you push up like this",2025-11-22T21:25:40.678Z
weight problems,проблемы с весом,,2026-03-01T12:18:49.134Z
Japan Japanese,Япония Японский,,2025-12-14T21:59:02.945Z
last month,в прошлом месяце,в прошлом месяце — We met last month,2025-10-05T19:14:39.585Z
human quality,человеческое качество,,2025-12-28T01:53:48.450Z
person,человек,"The word \человек\"" in English is \""person.""",2025-11-05T14:01:54.796Z
honor,честь,,2025-12-31T00:59:18.272Z
Than,Чем,She is taller than her brothe,2025-11-08T22:37:03.447Z
were,Прошедшее время to be для you,Прошедшее время to be для you/we/they; past form of be; пример: “They were happy.”,2025-12-07T15:57:22.929Z
values,ценности,,2026-05-03T18:55:07.608Z
Accuracy,Точность,,2026-02-27T09:55:50.056Z
correctly,корректно,,2025-12-28T01:56:30.952Z
December,декабрь,,2025-07-28T17:01:22.472Z
unicast,одноадресный,передача одному устройству; Example: Most traffic is unicast,2026-03-15T18:46:48.427Z
integer,Целое число. Создаётся присваиванием: x = 10. Не содержит дробей. В,"Целое число. Создаётся присваиванием: x = 10. Не содержит дробей. В Python может быть любого размера, ограничен только памятью",2025-11-12T16:46:17.707Z
once,однажды,однажды / раз — I was there once,2025-10-05T19:14:14.163Z
dependent,зависимый,зависимый,2025-07-02T14:26:14.551Z
Egypt Egyptian,Египет Египетский,,2025-12-14T21:55:26.253Z
already,уже,уже — I’ve already finished,2025-10-05T19:14:14.596Z
source,источник,"Next, there is the source, the Layer 2 address of the device which sent the frame",2026-03-29T18:45:55.042Z
to become,становиться,становиться; to change into something; Example: He wants to become a network engineer. — Он хочет стать сетевым инженером,2026-05-09T18:36:14.612Z
fall mood,осеннее настроение,,2026-04-06T14:58:34.166Z
rental,аренда,,2026-03-23T18:07:59.511Z
cause,быть причиной,"причинять, быть причиной; to make something happen; Example: Games can cause stress. (Игры могут вызвать стресс.) /kɔːz",2025-12-07T18:16:04.689Z
time,время,время — Time is money,2025-10-05T19:13:28.300Z
Are you busy?,Ты занят?,,2026-01-04T00:56:48.330Z
copper,медный кабель,медный кабель; Example: Copper cables are used in Ethernet,2026-03-15T18:41:41.348Z
which allows,что позволяет,,2026-03-27T21:30:03.344Z
to fail,потерпеть неудачу,I passed history but failed chemistry,2025-10-14T21:52:53.702Z
already,уже,"This is known as a KNOWN UNICAST frame, because the destination is already in its MAC address",2026-03-30T16:40:42.257Z
May,май,,2025-07-28T17:01:21.114Z
rest,отдыхай,,2025-12-31T01:01:52.700Z
network,сеть,сеть; network = connected devices; Example: Devices in the network — Устройства в сети,2025-12-01T21:58:26.561Z
feelings,чувства,(чувства) Communication helps to share feelings. — Общение помогает делиться чувствами,2025-10-26T15:15:04.591Z
submit,сдаться,"сдаться / заставить сдаться; to give up or force someone to tap; Example: \He submitted him.\"" — Он заставил его сдаться; нюанс: ключевое слово в BJJ""",2025-11-23T20:32:33.713Z
fly  flew  flown,в формах,,2025-12-31T00:58:10.646Z
horrible,ужасное,,2025-12-28T01:57:31.430Z
to delete,удалить,удалить; delete = remove data; Example: Delete the folder — Удали папку,2025-12-01T21:58:19.788Z
fruit,фрукт,,2025-12-31T01:04:29.993Z
methodology,Методология,Методология; описывает способы и процедуры исследования; Example: The methodology explains how the data were collected,2025-12-10T03:14:08.676Z
input,ввод,ввод,2025-07-02T14:39:25.119Z
Hungary Hungarian,Венгрия Венгерский,,2025-12-14T21:53:53.855Z
choke,удушение,"удушение; a move that cuts air/blood; Example: \A choke is tight.\"" — Удушение плотное; нюанс: кровь/воздух-закрывающее действие""",2025-11-23T20:32:36.147Z
able,способный,I am able to swim,2025-12-28T01:49:15.813Z
before,раньше,раньше / до — Wash your hands before eating,2025-10-05T19:14:11.128Z
at first,сначала,"сначала — At first, I didn’t understand",2025-10-05T19:14:24.033Z
A lawyer,Адвокат,A lawyer,2026-04-01T22:33:08.862Z
let’s spend,Давайте проведём,So let’s spend a few slides looking into MAC addresses,2026-03-29T19:42:13.840Z
The eleventh,Одиннадцатый,,2026-03-31T18:48:27.706Z
Other,(другие дополнительные объекты),,2026-03-31T18:31:41.657Z
black eye,синяк под глазом,,2025-12-31T01:02:32.890Z
grandchildren,Внуки,Внуки; children of your children; пример: “They love their grandchildren.”,2025-12-07T17:22:07.524Z
next,далее,"далее — Next, we’ll discuss the plan",2025-10-05T19:14:35.467Z
rarely,редко,редко — He rarely eats sweets,2025-10-05T19:14:13.368Z
last week,на прошлой неделе,на прошлой неделе — She was busy last week,2025-10-05T19:14:40.136Z
today,сегодня,сегодня — I feel good today,2025-10-05T19:14:09.166Z
I mentioned,Я упомянул,"I mentioned a little bit about MAC addresses, but let’s dig a little deeper",2026-03-29T19:40:30.388Z
parameter,параметр,параметр,2025-07-02T14:46:51.096Z
